x,sin(2πx/1000)
0,0.0
1,0.006283143965558951
2,0.012566039883352607
3,0.018848439715408175
4,0.02513009544333748
5,0.03141075907812829
6,0.03769018266993454
7,0.0439681183178649
8,0.050244318179769556
9,0.05651853448202453
10,0.06279051952931337
11,0.06906002571440578
12,0.07532680552793272
13,0.08159061156815756
14,0.08785119655074317
15,0.09410831331851431
16,0.1003617148512149
17,0.10661115427525991
18,0.11285638487348168
19,0.11909716009486973
20,0.12533323356430426
21,0.1315643590922825
22,0.13779029068463805
23,0.14401078255225216
24,0.15022558912075706
25,0.15643446504023087
26,0.1626371651948836
27,0.16883344471273387
28,0.17502305897527604
29,0.18120576362713736
30,0.1873813145857246
31,0.19354946805086023
32,0.19970998051440703
33,0.20586260876988133
34,0.21200710992205463
35,0.21814324139654254
36,0.22427076094938117
37,0.23038942667659057
38,0.23649899702372468
39,0.2425992307954074
40,0.2486898871648548
41,0.2547707256833821
42,0.26084150628989694
43,0.26690198932037557
44,0.27295193551732516
45,0.2789911060392293
46,0.2850192624699761
47,0.2910361668282718
48,0.2970415815770349
49,0.30303526963277394
50,0.3090169943749474
51,0.3149865196553048
52,0.32094360980720954
53,0.32688802965494246
54,0.3328195445229866
55,0.3387379202452914
56,0.34464292317451706
57,0.35053432019125896
58,0.35641187871325075
59,0.36227536670454563
60,0.3681245526846779
61,0.37395920573780045
62,0.37977909552180106
63,0.38558399227739654
64,0.3913736668372024
65,0.39714789063478056
66,0.40290643571366264
67,0.40864907473634904
68,0.41437558099328414
69,0.42008572841180625
70,0.42577929156507266
71,0.43145604568095897
72,0.4371157666509329
73,0.4427582310389015
74,0.44838321609003223
75,0.45399049973954675
76,0.4595798606214878
77,0.4651510780774583
78,0.4707039321653325
79,0.4762382036679391
80,0.4817536741017153
81,0.4872501257253323
82,0.4927273415482915
83,0.4981851053394909
84,0.5036232016357608
85,0.5090414157503713
86,0.5144395337815064
87,0.5198173426207094
88,0.5251746299612956
89,0.530511184306734
90,0.5358267949789967
91,0.5411212521268758
92,0.5463943467342691
93,0.5516458706284302
94,0.556875616488188
95,0.5620833778521306
96,0.5672689491267565
97,0.5724321255945908
98,0.5775727034222676
99,0.5826904796685761
100,0.5877852522924731
101,0.5928568201610592
102,0.5979049830575188
103,0.6029295416890247
104,0.6079302976946055
105,0.6129070536529765
106,0.6178596130903343
107,0.6227877804881126
108,0.6276913612907005
109,0.6325701619131244
110,0.6374239897486897
111,0.6422526531765844
112,0.6470559615694442
113,0.6518337253008788
114,0.6565857557529564
115,0.6613118653236518
116,0.6660118674342517
117,0.67068557653672
118,0.6753328081210244
119,0.6799533787224192
120,0.6845471059286886
121,0.6891138083873485
122,0.693653305812805
123,0.6981654189934726
124,0.7026499697988492
125,0.7071067811865475
126,0.7115356772092853
127,0.7159364830218311
128,0.7203090248879069
129,0.7246531301870466
130,0.7289686274214114
131,0.7332553462225601
132,0.7375131173581739
133,0.7417417727387392
134,0.7459411454241821
135,0.7501110696304595
136,0.7542513807361038
137,0.7583619152887219
138,0.7624425110114479
139,0.7664930068093498
140,0.7705132427757893
141,0.7745030601987338
142,0.7784623015670235
143,0.7823908105765881
144,0.7862884321366189
145,0.7901550123756903
146,0.7939903986478353
147,0.797794439538571
148,0.8015669848708765
149,0.805307885711122
150,0.8090169943749475
151,0.812694164433094
152,0.8163392507171839
153,0.8199521093254524
154,0.8235325976284275
155,0.8270805742745618
156,0.8305958991958126
157,0.8340784336131711
158,0.8375280400421418
159,0.840944582298169
160,0.8443279255020151
161,0.8476779360850831
162,0.8509944817946918
163,0.8542774316992952
164,0.8575266561936522
165,0.8607420270039435
166,0.8639234171928354
167,0.86707070116449
168,0.8701837546695257
169,0.8732624548099202
170,0.8763066800438636
171,0.8793163101905562
172,0.8822912264349533
173,0.8852313113324551
174,0.8881364488135445
175,0.8910065241883678
176,0.8938414241512637
177,0.8966410367852359
178,0.8994052515663711
179,0.9021339593682028
180,0.9048270524660196
181,0.907484424541117
182,0.9101059706849957
183,0.9126915874035028
184,0.9152411726209175
185,0.917754625683981
186,0.9202318473658703
187,0.9226727398701149
188,0.925077206834458
189,0.9274451533346614
190,0.9297764858882515
191,0.932071112458211
192,0.934328942456612
193,0.9365498867481924
194,0.9387338576538741
195,0.9408807689542255
196,0.9429905358928644
197,0.9450630751798048
198,0.9470983049947443
199,0.9490961449902946
200,0.9510565162951535
201,0.9529793415172189
202,0.954864544746643
203,0.9567120515588304
204,0.9585217890173758
205,0.9602936856769431
206,0.9620276715860858
207,0.9637236782900097
208,0.9653816388332739
209,0.967001487762435
210,0.9685831611286311
211,0.9701265964901059
212,0.9716317329146739
213,0.9730985109821265
214,0.9745268727865771
215,0.9759167619387473
216,0.9772681235681935
217,0.9785809043254721
218,0.9798550523842469
219,0.9810905174433341
220,0.9822872507286887
221,0.9834452049953297
222,0.9845643345292053
223,0.985644595148998
224,0.986685944207868
225,0.9876883405951378
226,0.9886517447379141
227,0.9895761186026509
228,0.9904614256966512
229,0.9913076310695066
230,0.9921147013144779
231,0.9928826045698137
232,0.9936113105200084
233,0.9943007903969989
234,0.9949510169813002
235,0.99556196460308
236,0.9961336091431725
237,0.9966659280340299
238,0.9971589002606139
239,0.9976125063612252
240,0.9980267284282716
241,0.998401550108975
242,0.9987369566060175
243,0.9990329346781247
244,0.9992894726405892
245,0.9995065603657316
246,0.9996841892832999
247,0.999822352380809
248,0.9999210442038161
